piam_variable;Variable;factor;weight;spatial
Demand|++|Crops (Mt DM/yr);Agricultural Demand (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Bioenergy crops (Mt DM/yr);Agricultural Demand (million t DM/yr);1;NULL;reg+glo
Demand|++|Livestock products (Mt DM/yr);Agricultural Demand (million t DM/yr);1;NULL;reg+glo
Demand|+|Bioenergy (Mt DM/yr);Agricultural Demand|Energy (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Secondary products (Mt DM/yr);Agricultural Demand|Energy|Crops (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Bioenergy crops (Mt DM/yr);Agricultural Demand|Energy|Crops (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Secondary products (Mt DM/yr);Agricultural Demand|Energy|Crops|1st generation (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Bioenergy crops (Mt DM/yr);Agricultural Demand|Energy|Crops|2nd generation (million t DM/yr);1;NULL;reg+glo
Demand|++|Crops (Mt DM/yr);Agricultural Demand|Non-Energy (million t DM/yr);1;NULL;reg+glo
Demand|++|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy (million t DM/yr);1;NULL;reg+glo
Demand|++|Crops (Mt DM/yr);Agricultural Demand|Non-Energy|Crops (million t DM/yr);1;NULL;reg+glo
Demand|Feed|+|Crops (Mt DM/yr);Agricultural Demand|Non-Energy|Crops|Feed (million t DM/yr);1;NULL;reg+glo
Demand|Food|+|Crops (Mt DM/yr);Agricultural Demand|Non-Energy|Crops|Food (million t DM/yr);1;NULL;reg+glo
Demand|Agricultural Supply Chain Loss|+|Crops (Mt DM/yr);Agricultural Demand|Non-Energy|Crops|Other (million t DM/yr);1;NULL;reg+glo
Demand|Domestic Balanceflow|+|Crops (Mt DM/yr);Agricultural Demand|Non-Energy|Crops|Other (million t DM/yr);1;NULL;reg+glo
Demand|Material|+|Crops (Mt DM/yr);Agricultural Demand|Non-Energy|Crops|Other (million t DM/yr);1;NULL;reg+glo
Demand|Processing|+|Crops (Mt DM/yr);Agricultural Demand|Non-Energy|Crops|Other (million t DM/yr);1;NULL;reg+glo
Demand|Seed|+|Crops (Mt DM/yr);Agricultural Demand|Non-Energy|Crops|Other (million t DM/yr);1;NULL;reg+glo
Demand|Agricultural Supply Chain Loss|+|Crops (Mt DM/yr);Agricultural Demand|Non-Energy|Crops|Other|Waste (million t DM/yr);1;NULL;reg+glo
Demand|++|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock (million t DM/yr);1;NULL;reg+glo
Demand|Food|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Food (million t DM/yr);1;NULL;reg+glo
Demand|Agricultural Supply Chain Loss|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Domestic Balanceflow|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Feed|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Material|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Processing|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Seed|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other (million t DM/yr);1;NULL;reg+glo
Demand|Agricultural Supply Chain Loss|+|Livestock products (Mt DM/yr);Agricultural Demand|Non-Energy|Livestock|Other|Waste (million t DM/yr);1;NULL;reg+glo
Production|+|Crops (Mt DM/yr);Agricultural Production (million t DM/yr);1;NULL;reg+glo
Production|+|Livestock products (Mt DM/yr);Agricultural Production (million t DM/yr);1;NULL;reg+glo
Production|+|Bioenergy crops (Mt DM/yr);Agricultural Production (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Crop residues (Mt DM/yr);Agricultural Production (million t DM/yr);1;NULL;reg+glo
Production|+|Bioenergy crops (Mt DM/yr);Agricultural Production|Energy (million t DM/yr);1;NULL;reg+glo
Demand|Bioenergy|+|Crop residues (Mt DM/yr);Agricultural Production|Energy (million t DM/yr);1;NULL;reg+glo
Production|+|Bioenergy crops (Mt DM/yr);Agricultural Production|Energy|Crops (million t DM/yr);1;NULL;reg+glo
ZERO (NA);Agricultural Production|Energy|Crops|1st generation (million t DM/yr);1;NULL;reg+glo
Production|+|Bioenergy crops (Mt DM/yr);Agricultural Production|Energy|Crops|2nd generation (million t DM/yr);1;NULL;reg+glo
Production|+|Crops (Mt DM/yr);Agricultural Production|Non-Energy (million t DM/yr);1;NULL;reg+glo
Production|+|Livestock products (Mt DM/yr);Agricultural Production|Non-Energy (million t DM/yr);1;NULL;reg+glo
Production|+|Crops (Mt DM/yr);Agricultural Production|Non-Energy|Crops (million t DM/yr);1;NULL;reg+glo
Production|Crops|+|Cereals (Mt DM/yr);Agricultural Production|Non-Energy|Crops|Cereals (million t DM/yr);1;NULL;reg+glo
Production|+|Livestock products (Mt DM/yr);Agricultural Production|Non-Energy|Livestock (million t DM/yr);1;NULL;reg+glo
Emissions|CH4|Land (Mt CH4/yr);Emissions|CH4|AFOLU (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|+|Agriculture (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|Agriculture|+|Enteric fermentation (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture|Livestock (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|Agriculture|+|Animal waste management (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture|Livestock (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|Agriculture|+|Enteric fermentation (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture|Livestock|Enteric Fermentation (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|Agriculture|+|Animal waste management (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture|Livestock|Manure Management (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|Agriculture|+|Rice (Mt CH4/yr);Emissions|CH4|AFOLU|Agriculture|Rice (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|+|Biomass Burning (Mt CH4/yr);Emissions|CH4|AFOLU|Biomass Burning (Mt CH4/yr);1;NULL;reg+glo
Emissions|CH4|Land|+|Peatland (Mt CH4/yr);Emissions|CH4|AFOLU|Land (Mt CH4/yr);1;NULL;reg+glo
ZERO (NA);Emissions|CH4|AFOLU|Land|Grassland Burning (Mt CH4/yr);1;NULL;reg+glo
Emissions|CO2|Land|+|Land-use Change (Mt CO2/yr);Emissions|CO2|AFOLU (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|+|Regrowth (Mt CO2/yr);Emissions|CO2|AFOLU|Afforestation (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|AFOLU|Agriculture (Mt CO2/yr);Emissions|CO2|AFOLU|Agriculture (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|+|Deforestation (Mt CO2/yr);Emissions|CO2|AFOLU|Deforestation (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|Regrowth|+|Timber Plantations (Mt CO2/yr);Emissions|CO2|AFOLU|Forest Management (Mt CO2/yr);1;NULL;reg+glo
ZERO (NA);Emissions|CO2|AFOLU|Negative (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|+|Peatland (Mt CO2/yr);Emissions|CO2|AFOLU|Other LUC (Mt CO2/yr);1;NULL;reg+glo
ZERO (NA);Emissions|CO2|AFOLU|Positive (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|Land-use Change|++|Below Ground Carbon (Mt CO2/yr);Emissions|CO2|AFOLU|Soil Carbon (Mt CO2/yr);1;NULL;reg+glo
Emissions|CO2|Land|+|Land-use Change (Mt CO2/yr);Emissions|GHG|AFOLU (Mt CO2e/yr);1;NULL;reg+glo
Emissions|CH4|Land (Mt CH4/yr);Emissions|GHG|AFOLU (Mt CO2e/yr);25;NULL;reg+glo
Emissions|N2O|Land (Mt N2O/yr);Emissions|GHG|AFOLU (Mt CO2e/yr);0.285;NULL;reg+glo
Emissions|N2O|Land (Mt N2O/yr);Emissions|N2O|AFOLU (kt N2O/yr);1000;NULL;reg+glo
Emissions|N2O|Land|+|Agriculture (Mt N2O/yr);Emissions|N2O|AFOLU|Agriculture (kt N2O/yr);1000;NULL;reg+glo
Emissions|N2O|Land|Agriculture|+|Animal Waste Management (Mt N2O/yr);Emissions|N2O|AFOLU|Agriculture|Livestock (kt N2O/yr);1000;NULL;reg+glo
Emissions|N2O|Land|Agriculture|+|Animal Waste Management (Mt N2O/yr);Emissions|N2O|AFOLU|Agriculture|Livestock|Manure Management (kt N2O/yr);1000;NULL;reg+glo
Emissions|N2O|Land|Agriculture|+|Agricultural Soils (Mt N2O/yr);Emissions|N2O|AFOLU|Agriculture|Managed Soils (kt N2O/yr);1000;NULL;reg+glo
Emissions|N2O|Land|+|Biomass Burning (Mt N2O/yr);Emissions|N2O|AFOLU|Biomass Burning (kt N2O/yr);1000;NULL;reg+glo
ZERO (NA);Emissions|N2O|AFOLU|Land (kt N2O/yr);1;NULL;reg+glo
ZERO (NA);Emissions|N2O|AFOLU|Land|Grassland Burning (kt N2O/yr);1;NULL;reg+glo
ZERO (NA);Emissions|N2O|AFOLU|Land|Grassland Pastures (kt N2O/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Ash from Burned Crop Residues (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Atmospheric Deposition (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Manure Recycled from Confinements (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues (Mt Nr/yr);Fertilizer Use|Nitrogen (Tg N/yr);1;NULL;reg+glo
